Type,Tweet
Sports,What do you think is the biggest Test series in international cricket testcricket
Sports,Swansea (Swans) fans how did your celebrate your League Cup victory and whats it like to welcome your team home Tweet bbcfootball
Politics,EP vicepresident giannipittella says on EUbudget proposal by EUcouncil EP cannot accept this deal as it stands fr MFF  EUCO
Politics,Book of the Day Wyclef on his struggles from poverty in rural Haiti to Lauryn Hill. http//t.co/ZwRgGDYG
Sports,stewartmatthew Thanks for that )
Sports,In final SAPOpenTennis match milosraonic beats TommyHaas   for third straight San Jose crown and a  event record. atp tennis
Sports,RT ESPNStatsInfo This is just the third time in Tiger Woods career that hes been eliminated in the st round of the WGCAccenture Ma ...
Politics,President and Mrs. Obama Visit Troops on Christmas Day  President Barack Obama delivers remarks as he and First... http//t.co/ZttsYKX
Politics,I know that my students and I will carry these scars for the rest of our lives.  Rachel S. http//t.co/YWBZmi TheyDeserveAVote
Politics,Photo Time for ferry crossing. Will be crossing Padma River. More photos coming up http//t.co/dJiHNidbz
Sports,mangelesaguirre Another year gone we love all the fans were getting from South America. Hello Chile ;)
Sports,Reverse sweep for four by Pomsersbach. Top shot against the tight Beer  (.) BBL bigfinals
Sports,Not a fan of the gratuitous flouro on the England shirts... looks like nasty pit stain. ausveng odi
Sports,Federer down a set to Jaziri. Will Fed come back in the nd Read Jaziris ATP player profile http//t.co/aUMcYNCNA DubaiTennis
Politics,A high school student doing his job he was murdered senselessly by a man with a criminal record and a gun.  Michelle M. TheyDeserveAVote
Sports,no_fidelity Ok we hear ya ;)
Sports,Everton v Oldham ( GMT) Steven Naismith and Marouane Fellaini drop out of EFCs starting XI  Fellaini is not in the squad at all.
Politics,The President It is important to support schools in the CIS and other states that teach in Russian
Politics,FACT Obamas plan would tie the minimum wage to inflation so working families can keep up with rising costs over time.
Politics,An overview of the JapanDenmark Summit Meeting on November th is available from the following link. http//t.co/jZLDFTtL
Sports,Both English Clubs involved in last nights Champions Leagues fixtures went home with just a point. How will they get on tonight
Politics,.PaulRyanVP wants this debate tonight   and I know he ll do us proud. VPDebate RomneyRyan
Sports,RT HillSchlereth THE OVER.  points. TeamRussillo
Politics,On Jan  PMAbe attended new year party by RENGO. His opening address is accessible from the following link.  http//t.co/FRpjKnG
Politics,Building Bonds. Fostering Friendship. From Kolkata to Kunming. First ever BCIM Car Rally to flagoff on nd Feb http//t.co/BYbDaJ
Sports,There is still plenty to play for in the Reliance ICC Test Championship table ahead of IndvsAus series
Sports,RT piersnewbery GB FedCup column from laurarobson key words Doubles nerves maracas physio confident rhythm Brits Beckham.. ...
Politics,.christopheswift discusses Brennan hearings and US drone strikes with MorningBriefing. Listen here http//t.co/TRlvQEPV
Politics,Food safety and tax optimisation  two topics two MEPs two opinions. Tune in for Europarltv video http//t.co/ZywsXygD
Sports,INDvAUS India .  runs off the last Lyon over by MS Dhoni. jpattinson continues.
Sports,Its written by joshualoveridge
Sports,Maria de Villota cleared to drive again after losing her right eye in a crash while F testing last July. http//t.co/izMbWSphH bbcf
Politics,On Jan  PM Abe attended new year Party by Jiji Press held in Tokyo. His opening address is available.  http//t.co/KWFNMfWd
Politics,On Jan  PMAbe visited Miyagi Prefecture to gauge progress of reconstruction from Great East Japan Earthquake. http//t.co/Lclz
Sports,So after almost playing on twice Sunshine goes to the well again. Brainless batting.
Politics,Watch as kids take over the MEPs job in PEStrasbourg. Euroscola starts at am CET http//t.co/xebRkY
Politics,aGaInStcOmMuNaL thank you )
Sports,st Test. Over   runs  wkt (M Starc  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,On immigration policy It is necessary to develop an order for granting citizenship to compatriots Russian language speakers more quickly
Sports,To see both teams in full attendance was pleasing; even more presence of Tigers mates Pras Bedi Wadekar Durrani Baig Borde Engineer
Sports,Roger Byrne    aged . Fullback. RememberingMunich http//t.co/OgJKu
Sports,INDvAUS India have taken the second new ball. Australia . Mozzie  NathLyon . Live Blog http//t.co/UkibMyuR
Politics,America s farmers can t afford the jobdestroying tax hikes ; higher death taxes a second BarackObama term will bring. http//t.co/ZXaCoEsX
Sports,DetFootballer There are too many to list...
Politics,EUUS Free Trade Agreement What Are the Obstacles Find out in our blog http//t.co/FhdaRB
Sports,First  complete StarsBBL . White and Hodge at the crease. Hogg back. BBL bigfinals
Sports,FL In total  players have appeared in Football League matches   the most common surname has been Smith ( players)
Politics,Abraham Lincoln expert HaroldHolzer is speaking now watch live at http//t.co/DywjuHOIIs
Sports,PREVIEW Big Semi Final   ScorchersBBL v StarsBBL http//t.co/hiunMX bigfinals BBL
Politics,On We The People Blasts Deja Vu Why have been in this exact moment scores of times before Is    politics      hurting the fight against terror
Sports,st Test. Over   runs (M Henriques  N Lyon ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,cricket_rt the only cricket fan page Not sure about that...
Sports,RT WayneRoutledge Extremely humbled Thanks those who could make it out get home safe
Politics,lynettesaimon thank you  and will try  not sure will succeed )
Sports,Biggest upset of the AustralianOpen so far  Chardy beats delPotroJuan   ()  . atp tennis
Sports,Joe Burns takes a blinder to dismiss Rob Quiney. James Hopes the bowler. bushrangers  (.). Live Blog http//t.co/QzCFGXsbE RyobiODC
Sports,Will Warner have the mo tomorrow AUSvSA
Politics,[Landmines] are blind weapons that cannot distinguish between the footfall of a soldier ; that of an old woman gathering firewood Madiba
Politics,February  meeting with King Abdullah II of Jordan http//t.co/NizryX
Politics,NOW Discuss DisabilityRights with aneeman autselfadvocacy ; Sarah Amin NEDemocracy live at http//t.co/eCBau CONX State_DRL
Sports,Drummy Its such an occasion and such a great club to see. It will inspire them to further things. CFC
Politics,BDUTT the Delhi Municipality is also working on implementing DoTs norms for installation of towers PritishNandy
Politics,.BarackObama s war on coal is threatening the livelihood of American workers. We can t afford four more years http//t.co/LRZaaCnA
Politics,Before EU summit on Thursd MEPs voice EUCO demands watch from am CET for statements by EU_Council ; EU_Commission http//t.co/ecjTMRqJ
Sports,BenWalsh haha Better late than never Thanks
Sports,Cant believe its the last day of the ashes for another series. Time has flown by like a Mitchell Johnson wide...
Politics,RT WWaystation We hope your day is this good ) http//t.co/tOzefAWL
Politics,I like friends who have independent minds NelsonMandela
Sports,Just in case you didnt know College basketball is completely crazy. Upsets EVERYWHERE.
Politics,West Wing Week // or   cBehind the Scenes Inauguration  d http//t.co/JiGHtI
Politics,President Obama references Hurricane Sandy in his victory speech in Chicago. POTU
Sports,EverestCricket no problem  thanks for sharing
Politics,Weekly Wrap Up Strengthening Our Countrys Future  Watch the West Wing Week here. Heres a quick glimpse at wh... http//t.co/aKstKLuO
Politics,SecKerry gives a shout out to usembassyjkt for their work advocating for US businesses in Indonesia.
Sports,RT Baseclogger .espn Favorite   Sports       Poster Ken Griffey Jr. ; Sr. TheKid http//t.co/KnwUrKJCYh
Sports,Out Clarke is out LBW to a ball that has seriously spun and kept low. Out for  Australia  INDvAUS
Sports,st Test. Over   runs (M Vijay  V Sehwag ) IND / IndvAus http//t.co/fVNlKTPB BCCI
Politics,OH Senate  Mandel speaking from Columbus NOW  NS CH
Sports,RT OptaJim   finnysteve has become the rd fastest ECB_cricket bowler behind Anderson () ; Harmison () to  ODI wkts f ...
Politics,Railway Budget Passenger growth .% in
Politics,The President We need to develop a system of measures to relieve the economy from offshore operations
Sports,st Test. Over   runs (B Kumar  MS Dhoni ) IND / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Follow the team during tonight s debate RomneyResponse PaulRyanVP AndreaMSaul EricFehrn ZacMoffatt TeamRomney ggitcho AbeAdams
Sports,With scores of    and  AaronFinch is averaging . in the series at a strike rate of . AusAvEngL
Sports,st Test. Over   run (M Clarke  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,partnership up between MClarke and Peter Siddle. Stubborn batting in Chennai.  INDvAUS
Politics,PM Want to speak about EU ; how it must change both to deliver prosperity ; to retain the support of its peoples EUspeech
Politics,They deserve a vote http//t.co/bzxe
Sports,The Test is over early so the Australians are getting some practice. warne has come out to chat to Lyon INDvAUS http//t.co/RqkRQtd
Politics,PritishNandy saw already thanks. GoIs going deep into this. Btw Im seeing Manish Tewari soon. Will tell him about your PNCDD issue
Politics,While we drive down to Bangladesh heres a quick quiz Can you tell us what type of trees are these BCIM http//t.co/EGNfWUGsW
Sports,No boundaries for Colvin http//t.co/UttREAWgeI
Sports,Todays QSTeaser from QofS_Official Who are the four New Zealand bowlers to have taken  or more Test wickets bbc   sports       day
Politics,Dignitaries and Distinguished Guests at the BCIM Car Rally flag off BCIM http//t.co/oiEATNUt
Sports,RT TeamGB_F only  days to the ausgrandprix on  March   cant wait to show your guys just how well our f car works
Politics,RT FLOTUS In case you missed it First Lady Michelle Obama ; JimmyFallon in Evolution of Mom Dancing. http//t.co/MSKJKLDbZ  ...
Sports,Second half is underway. Come on Chelsea CFC
Sports,Trying to defend Kevin Durant and Russell Westbrook cannot be fun.
Sports,formulaone Looking good. Not long now...
Sports,st Test. . N Lyon to MS Dhoni  runs / IndvAus http//t.co/fVNlKTPB BCCI
Politics,PHOTO MEPs debate MFF EU summit with euHvRBarrosoEU giannipittella http//t.co/WjGPOZ ; http//t.co/JYrRCLyV  fEuroparl_Photo
Politics,FACT % of Americans support requiring background checks for all gun sales RT if youre one of them. http//t.co/yOzOhkF
Politics,RT SalmanSoz milinddeora Time for MPs to push for abolition of MPLADs. Focus on being good legislators. Let executive deal with devel ...
Sports,liquidsteele Well see you soon
Politics,RT MIB_India MoU signed between NACO and Ministry of Shipping http//t.co/GoQqNJG
Politics,The dreamers and the entrepreneurs not government built this economy and they can once again make it strong.
Politics,February  NelsonMandela addresses the launch of the National Campaign for Learning and Teaching http//t.co/iPxRCqUO
Sports,.DjokerNole wins epic fiveset thriller against StanWawrinka    ()  to reach AustralianOpen QFs. atp tennis
Sports,rivkehguerra Great well let the AOradio team know )
Sports,Benitez Apart from Oriol we should have everyone available for Sunday CFC
Sports,Parks to take Sussex presidency http//t.co/kNLndM
Sports,It is  days to go until the start of ct. Did you know Alistair Campbell scored the first  in the event s history v NZ in
Politics,// NelsonMandela is informed that his application for a hot plate ; kettle for his cell has been refused PrisonDiary
Sports,The stats cant split the ScorchersBBL or HeatBBL in tonights BBL decider http//t.co/bqBgvpJ BBL bigfinals
Politics,President Obama High Quality PreK Is Good Bang for your Educational Buck http//t.co/PuJrBJG
Politics,Photo PM meets Holocaust survivor Freda Wineman and signs the book of commitment ahead of HMD HolocaustUK http//t.co/yIlDRJ
Sports,Read all about it Novaks triple treat...The Final Match Report http//t.co/JpOXqPzt AusOpen Djokovic Murray
Politics,RT pragmatic_d As much as I believe in the cause for the protest not a fan of arson stonepelting and violence as a means of protest.
Politics,FACT Impending spending cuts would end programs for nearly . million disadvantaged students if Congress doesnt act. JobsNotCuts
Politics,President Obama Nominates Mary Jo White to Run the SEC  President Obama announced today that he wants Mary Jo W... http//t.co/imFzNKEF
Politics,How could EUUS trade deal TAFTA look like Comm DeGucht presents recommendatn to EP_trade. Report /ow.ly/hUrWg TAFTA
Politics,President Obama America will complete its mission in Afghanistan and achieve our objective of defeating the core of al Qaeda.
Sports,Out Pattinson gets five removing MS Dhoni for . Pull shot gloved through to Wade. Brilliant innings. India  INDvAUS
Politics,We will fail our youth if we leave them in ignorance of what has given them the opportunities they now enjoy NelsonMandela
Sports,Earlier Chelsea interim boss Rafael Benitez played down reports of a training ground bustup with his squad. http//t.co/NuaaKQin CFC
Sports,Dravid Harbhajan deserves to enjoy his th. It is reward for a lot of hard work pain and sacrifice. http//t.co/LgLoTwb
Politics,Happening now President Obama speaks in Chicago about his plan to strengthen the economy for the middle class. http//t.co/rfGvghr
Politics,RT RobLalka This graphic from a handout at KeepWhatUReap event displays the scale of postharvest loss issues http//t.co/hsPmjzZc
Politics,Great video of long lines of voters in Nashville TN. Live signal now on NS CH  WKRN
Sports,helen__barker See you soon )
Sports,Want to live like an F driver at the  Formula ae Rolex AusGP Heres how to be in with a chance of winning http//t.co/ZzKOjqiX F
Politics,FACT If Congress refuses to act by Friday more than  mentally ill children and adults will go without treatment. JobsNotCuts
Politics,EqualMarriage a step closer with publication of Marriage (SameSex Couples) Bill today http//t.co/qYmkvKq http//t.co/vPbpSh
Sports,st Test. Over   runs (E Cowan  S Watson ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,President Obamas Message to the People of Kenya  Watch this video with Swahili subtitles In these videotaped r... http//t.co/LQeUMaH
Politics,Prime Ministers Comment after the Launch of Missile by North Korea at around  at the Entrance of the PMs Office http//t.co/uaCPBGSs
Sports,Dinda retaining his place is fair since he hadnt had any opportunity to be assessed. Must confess tho I am surprised by Rainas omission...
Politics,RT  fjduch JosephDaul says EU summit was a meeting of carpet dealers ; its result is not acceptable as it stands euco EPP
Sports,RT PritishNandy The Pope is only  and he wants to step down because of old age. ND Tiwari is  and you know what he is good at.
Sports,All of those stats happened because of one man s vision   William McGregor   The Father of The Football League http//t.co/NSVmkKjJB FL
Politics,shammybaweja in hindi i Cant speak any marathi )
Sports,RT bbclive Video  times Olympic champion track cyclist JasonKenny talks about Chris Hoy his OBE ; Sproodle puppy. Watch h ...
Politics,Dmitry Medvedev on the IT sectors development We need to define the industrys future
Politics,Gabby Giffords and Mark Kelly in the SOTU audience Item SOTU
Sports,dellis nope. With a noball you can only be run out. Unlikely to happen though
Politics,The Inside Story on Theodore Roosevelts Official Portrait  For Presidents Day we thought wed do a bit of cat... http//t.co/XfEggCS
Politics,Watch young people take MEPs roles during euroscola in PEStrasbourg. Starts at am CET http//t.co/KKpUZqpWn
Politics,Video Press Briefing on the Implementation of the Nuclear Test by North Korea by Spokespersons (February  ) http//t.co/vOnUjwCX
Sports,Bravo leads Windies to clean sweep http//t.co/hJgvPAS
Politics,MohsinSayeed ) ok will add you on FB though barely use it myself these days
Sports,Evertons assistant Steve Round says Marouane Fellaini should be back for Saturday after missing this evenings game through injury. EFC
Politics,akki_ankur i ask him that. Watch the interview
Politics,Why are DisabilityRights HumanRights http//t.co/eCBau State_DRL  NEDemocracy autselfadvocacy
Politics,So true quizderek Sophia Haque was my guest on the Bournvita Quiz Contest in the mid s... Gone too soon
Sports,Djokovic speaks to Mats Wilander. AusOpen peat http//t.co/LqRZhdn
Sports,RT patriotarrow Formulagame I know its just a game but...... IM A WORLD CHAMPION http//t.co/OomOdPhd
Sports,RT    Sports       Center OL Terron Armstead (  lbs) ran an unofficial . in the yard dash. Wow. SCtop NFLCombine
Sports,Benitez says Middlesbrough were doing really well but then they had some problems but they have a good way to play ; it will be tough. CFC
Politics,Meeting with Rosneft CEO Igor Sechin http//t.co/cpdmFx
Politics,.BarackObama said today  cyou can t change Washington from the inside. d RT if you agree.
Politics,CEA Have to re accelerate growth; as growth is higher we will have more fiscal space
Politics,Dmitry Medvedev has attended a working breakfast with foreign investors in Davos wef http//t.co/xOcCLAE
Sports,st Test. Over   runs (B Kumar  MS Dhoni ) IND / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Our freedom;our rights will only gain their full meaning as we succeed together in overcoming the divisions;inequalities of our past NM
Politics,LifeOfPi was undoubtedly the best movie of the year. Cant wait to watch DjangoUnchained though...
Politics,.BarackObama wants to raise taxes on the middle class. I want to bring tax rates down to put people back to work. http//t.co/VcTtcIXr
Politics,ravneetk )
Politics,RT DFID_UK MY World is the United Nations global survey for a better world. This is YOUR chance to be heard  spread the word http// ...
Politics,Food Minister We are concerned about the distribution mechanisms in the States; we are in consultation with them to improve them.
Sports,st Test. Over   runs (B Kumar  MS Dhoni ) IND / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Towards a European Global Strategy press conf w/ Brok ArnaudDanjean carlbildt ; sikorskiradek at .pm CET http//t.co/RWrKapamf
Politics,Watch Gen. Stanley McChrystal discusses how he changed special operations. http//t.co/kirDXW
Politics,Press Brief by the BCIM Car Rally team leaders and sponsors. BCIM http//t.co/hMLwqjqt
Politics,From the bottom of our hearts Ann and I thank you for your support prayers efforts ; vote. We are forever grateful to every one of you.
Politics,Economic Survey takes note of high level of gross NPAs of the banking sector; suggests revival of growth will help contain NPAs
Politics,February  Nelson Mandela arrives in Tripoli Libya on his clandestine trip to get support for the armed struggle
Politics,This morning SAPresident Jacob Zuma visited Nelson Mandela in a Pretoria hospital http//t.co/WtlgyqhB
Sports,RT SundayAgeSport Thanks u who enjoyed dons/fire piece. As ausgrandprix debate rolls on another year maybe time  revisit this one ...
Politics,Vallarpadam Terminal Cochin Port Trust. We recently relaxed Cabotage to make CPT a international transhipment hub http//t.co/bfhWywnv
Politics,Update from Bruce Reed on the Presidents Plan to Reduce Gun Violence http//t.co/yCmqLrNW
Politics,BCIM Car Rally  The first edition of the BCIM Car Rally from Kolkata to Kunming is being organized from   http//t.co/RpjGhB
Sports,RT jamie_murray Andy looking very composed. Djokovic looking strangely off balance. You seldom see that from him.
Politics,.WhiteHouse Fact Sheet Advancing Rights of LGBT People Globally http//t.co/dIpeJpOtFr State_DRL HumanRightsGov
Sports,GOAL Real Madrid take the lead in ElClasico from the penalty spot Ronaldo converting the spotkick after he was brought down by Pique
Politics,Today s disappointing unemployment report is not what a real recovery looks like. We can t afford another four years like the last.
Politics,Catch politicos preview of our interview w/ Gen. McChrystal Heres the full conversation http//t.co/IZNipWn (dylanbyers)
Sports,Ten Doeschate and Shah commit to Essex http//t.co/CBaLuqj
Politics,The Employment Situation in January  While more work remains to be done todays employment report provides fur... http//t.co/qovdOFq
Politics,Prof. Thomas on ICDS and the Food Bill These are serious issues and are under our consideration.
Politics,What the right and the left get wrong about the relationship between capitalism and inequality http//t.co/XNhsjBT
Sports,ozgooner merci Swansea should be a good game to watch eh
Sports,Gibbs moves across and clips Bird for four  after . BBL bigfinals
Politics,If BarackObama cannot lead his own party how can he lead America http//t.co/cYSNWo
Sports,BishanBedi Entirely agree. Shocking approach
Sports,dsadan Im afraid Im not sure which channel is broadcasting the game in NZ. Apologies
Politics,As the numbers roll in let CNNNewsource correspondents break down the race for your viewers. sandraendoCNN ; GKHCNN are LIVE. Book NOW
Politics,Avoiding conflicts of interests in EU agencies video interview with MEPs BartStaes ; Yannakoudakis on Europarl_TV http//t.co/MzjFmA
Sports,INDvAUS Clarke and Warner are taking the attack to India. Aus
Sports,st Test. Over   run  wkt (I Sharma ) IND  all out IndvAus http//t.co/fVNlKTPB BCCI
Politics,SHAMOODEEN State_DRL Could you explain your answer further
Politics,Government meeting on developing financial and insurance markets and setting up an International Financial Centre http//t.co/hfjuoOyQ
Politics,India putsasmartphone in space  Hindustan Times http//t.co/TsTxWhHDgR
Sports,INDvAUS Lunch on Day Three.  runs from  overs. Just the one wicket that of SRT for  by Lyon. Live scores http//t.co/SHuuuOqH
Sports,RT ScorchersBBL ScorchersBBL team news Stoinis is in for hershybru . HiltonC th and Triff th getscorched proudBScorched
Sports,st Test. Over   run (N Lyon  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,RT VP This issue should be beyond debate the House should follow the Senate s lead and pass the Violence Against Women Act right away. ...
Politics,DNA testing how to protect sensitive data about our future health. Article http//t.co/fSUcjSG
Politics,Reviewed repairs to INS Viraat our only functional Aircraft Carrier. Min of Shipping is trying to make India a global Ship ; Rig repair hub
Politics,President Obama Nominates Jacob Lew as Treasury Secretary  President Barack Obama announces Chief of Staff Jack... http//t.co/cNuuwL
Sports,RT FOX_CRICKET STAT Its the th time India have passed  in an innings against Australia in a test match. INDvAUS
Sports,DopeFloat nope the video is with the mens team
Sports,RT melindafarrell Digger reads todays SMHSport article to his mates at Traeger Park. imparjacup http//t.co/iiirwZDE
Politics,I was planning to help correct the errors of South Africa ; had forgotten that the first step in doing so was (cont) http//t.co/OWdPGAOj
Sports,RT BBCLSX This Friday the SuperLeague returns to BBCLSX as StHelens host LeedsRhinos. Join us at .pm http//t.co/ZLNsLGBUa
Sports,VIDEO jokonta puts the questions to Aegon GB FedCup Team Captain judmoo http//t.co/JqhJIVFl GBFedCup
Politics,RT WillyFerrell If only mosquitoes sucked fat instead of blood.
Sports,Shakib Al Hasan will miss Bangladesh s tour of Sri Lanka to have surgery on his left calf muscle.
Politics,Prime Ministers Questions starts in  minutes. Watch live at http//t.co/neaqcbo PMQs
Politics,Putin We need tighter control over investigation of crimes against journalists. Russias Security Council will address this issue
Politics,Watch Obamas SOTU address with enhanced graphics charts and useful stats on his plan to keep us moving forward http//t.co/sHRtqTK
Sports,GBFedCup Bulgaria holds for . Still one break separates them. Watson serving to level the match.
Sports,Benitez We have picked up a few knocks after last night nothing serious and well assess them tomorrow CFC
Sports,GBFedCup Robson holds to  for
Sports,The ball after he finds the boundary Handscomb is caught in the outer for . McDermott gets his second. Vic  (.) RyobiODC
Politics,The choice is clear for the next  years. BarackObamas policies will drive up middleclass taxes produce fewer jobs http//t.co/VQlOkIs
Politics,isabella_why ha ha thanks
Politics,Together we will restore the promise of America. http//t.co/XWsktdDe
Sports,RT HeatBBL Another  from danchristian heatingup
Sports,st Test. Over   runs  wkt (J Pattinson  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,We have uploaded video footage of the launch of The Meaning of Mandela to YouTube http//t.co/ImKIxSvb
Sports,RT hollycolvin Thanks to all the England girls who donated kit for trip to Uganda with CWBafrica makingadifference http//t.co/poT ...
Sports,RichRushEcho not quite as big as it looks there. The camera angle does make it the ground look huge
Politics,Will Chinas oneparty rule survive A debate Yes http//t.co/mDhTMEw vs. No http//t.co/bOLLBD
Politics,It s not a bigger government we need but a smarter government that sets priorities and invests in broadbased growth. JobsNow
Sports,Eager to see cricket in the Olympics The earliest it could happen is in . And there are several pitfalls before we get there.
Politics,FMS postbudget press conference at . pm tomorrow at PIB.
Politics,New Year s Reflection by Prime Minister Shinzo Abe(January   Provisional Translation) http//t.co/EXEQEfW
Sports,diegoi sleepisfortheweak this is a global sport D
Sports,The letter that changed football... FL http//t.co/tWCkpbjESU
Politics,.BarackObama promised to solve the housing crisis but hes failed to make an impact ; homeowners are still struggling.
Politics,Address to the Federal Assembly http//t.co/fyLAxc
Sports,julienbenneteau records his second career victory over Federer   in Rotterdam quarters. atp tennis
Sports,Rafael Benitez says there was a nornal meeting yesterday between players and staff the type that you see after games everywhere. CFC
Politics,BDUTT PritishNandy DoTs norms are for all of India. Wrote to all state govts but not all municipalities/panchayats are acting fast enough
Sports,st Test. Over   runs (D Warner  E Cowan ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,st Test. . R Jadeja to M Clarke  runs / IndvAus http//t.co/fVNlKTPB BCCI
Politics,The NelsonMandela Centre of Memory has been made aware of a new donor scam currently circulating via email http//t.co/yUkKWV
Sports,lovelywife Thanks for the feedback glad we could keep you updated. )
Sports,RT jamie_murray Who can do this with their tennis racket http//t.co/giCeWe
Politics,Rarely has a piece of U.S. legislation failed as spectacularly as the  immigration law. How to avoid a repeat http//t.co/mFuRALk
Sports,RT VictoriaInView Bernie Ecclestone indicates his preference is to keep the ausgrandprix in Melbourne F AustralianGP AlbertPark ...
Politics,West Wing Week // or True to Ourselves and Our History http//t.co/HCBSGh
Sports,.DjokerNole levels AustralianOpen final at onesetall winning nd set tiebreak (). No breaks of serve yet. atp tennis
Sports,Joe Root on Saturday became the st ODI player to make  consecutive scores of  or more in his first seven innings mondaymilestones
Sports,DerehamCC Id double check that one with Homeofcricket
Politics,President Obamas plan would raise the minimum wage to  an hour so an honest days work pays more for  million Americans. LivingWage
Politics,It saddens ; angers me to see the rising hatred of foreigners NelsonMandela
Sports,no_fidelity Thanks for the feedback. This year we had livestreaming for Aus in our apps via optus
Politics,Proposals of GovernmentRF for housing privatisation deadlines http//t.co/MCtGdb
Politics,Governments preparation against North Korea s plan to launch a missile which it calls a  csatellite d (Dec  ) http//t.co/zPqsbp
Sports,st Test. . R Ashwin to M Henriques  runs / IndvAus http//t.co/fVNlKTPB BCCI
Politics,MedvedevAcceding to the Organisation for Economic Cooperation and Development remains our strategic integration goal after joining the WTO
Sports,paulmcs Great shot
Politics,Novembers jobs report is better than expected but the fiscal cliff still looms. karincaifaCNN reports from Washington PYFR
Sports,.NicoAlmagro meets some fans at Autograph Island ausopen http//t.co/LApKLgl
Sports,RT bbclive And one final one http//t.co/YNgsJpkXy
Politics,neilhanman You will find the answer in this document from page  onwards http//t.co/pwHeOVe
Politics,The President I ask you to support draft laws on limiting officials and politicians rights to foreign accounts securities and shares
Sports,Luis Mendoza from The Mighty Ducks approves of this move ; http//t.co/wHTQOYPVF
Politics,CEA Best form of inclusive growth is providing a good job; need to provide more vocational training
Sports,thomasrwboro Hi Thomas  TV games are selected by Sky    Sports        so it is not our decision...
Sports,GBFedCup Watson holds at love for
Sports,We re in the final push toward the postseason of college hoops ; there are still a TON of questions to be answered; http//t.co/rqzfdI
Politics,Released a Postal Stamp to commemorate  years of the beautiful Alleppey Lighthouse Kerala http//t.co/OxfzjQ
Politics,Down under EP holds th interparliamentary meeting in Australia about energy resources agriculture fisheries ; trade with EU.
Politics,Medvedev If you hit a police officer it doesnt matter what party you are from. This is a crime in any country including Russia
Sports,Collegiate sport has an edge ; excitement all its own. I believe NDTV ; Star    Sports        have a potential winner in the Rohinton Baria Trophy...
Politics,Groundbreaking ceremony for an engine plant in Kaluga http//t.co/dCMrnp
Politics,Vladimir Putin has met with the leadership of the OPORA Russia business association http//t.co/QWtSMik
Sports,RT RoscoHutchins Thank you all for kind compliments of my sofa tennis chat eurosport very flatteredhope to be bk on soon.nd chemo ...
Sports,If bears can hibernate in the winter you can stay inside and watch    sports        all season. Its only fair.
Politics,February  the Robben Island cells of NelsonMandela ; his comrades are raided by about  prison guards
Sports,darrenhailes Thanks ;p
Politics,Dmitry Medvedev has visited the Zapolyarnoye oil gas and condensate field to attend the launch of production at full capacity Yamal
Politics,The Afghan stars of Buzkashi Boys are on their way to the Oscars. http//t.co/dUVcd Wish them luck AfghanProgress
Politics,When the history of our struggle is written it will tell a glorious tale of African solidarity of Africans  adherence to principles NM
Sports,NO BALL Faulkner bowls a front foot no ball  off  and its a free hit BBL bigfinals
Politics,The middle class has been crushed in the BarackObama economy. We CantAffordMore http//t.co/AtvXxq
Politics,Photo PM takes on future generation of Indian cricketers at Mumbais Maidan PMIndia http//t.co/admpkXh
Politics,deadlydrama terrible
Politics,The StateDept presses for the elimination of violence ; discrimination against LGBT people worldwide. http//t.co/nBjcCIiScG State_DRL
Politics,Medvedev Labour capacity in Russia lags behind world standards considerably. Our top priority is to increase it Davos wef
Sports,Saw Laxman check in a while ago. Couldnt meet him. He must be dismayed and anxious on hearing of the bomb blasts in Hyderabad
Politics,Age ; a conservative cultural background do not make it easy for me to discuss in public such intimate feelings or emotions NelsonMandela
Politics,RT Numberpress Number of people studying engineering and computer science has gone up quite radically says PM. Find out more htt ...
Politics,RT TSonenshine SecKerry reminds us today at his UVA speech that we have shared responsibilities we care about something bigger than ...
Politics,The st Press Conference by the Chief Cabinet Secretary(after the information of a nuclear test by North Korea)  http//t.co/BxJYMY
Sports,VIDEO What  your favourite... LauraRobson reveals all to FedCup teammate annekeothavong GBFedCup http//t.co/UBHTdT
Sports,Sky    Sports        reveal  televised games http//t.co/uWVlotv
Sports,INDvAUS Stumps on Day Two. India have successfully avoided the follow on . jpattinson with . SRT on  http//t.co/SHuuuOqH
Sports,GBFedCup Watson finally gets her first break of the match to lead  second set
Politics,President Obama on the importance of preschool  cEvery dollar we spend on early childhood education will save  down the road. d
Sports,up for Cameron White. Big performance in a big match.  (.) BBL bigfinals
Sports,RT MCFC TEAM NEWS Hart Zabaleta (C) Kolo Toure Nastasic Clichy Garcia Milner Rodwell Silva Yaya Toure Aguero cityvchelsea ...
Sports,Lord Nimmo Smith is to deliver Rangers ruling on Thursday. http//t.co/akUKvBsds SPL bbcfootball
